# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.109847113311249,4.171580045287751,-12.360346048661304,0,1.0,-1.7160352884214976,-5.599339336520618,0.0,0.020483286754091636
 0.06311792294488912,6.111792877647631,4.171153652783685,-12.360346048661304,0.06311792294488912,1.0,-1.7160352884214976,-5.598046474005615,-7.532366259432222,0.15031129032014826
 0.08892026539548714,6.113707447491178,4.170727284840061,-12.554698742350505,0.08892026539548714,1.0,-1.7803447174847689,-5.5941680906185836,-10.14723422206271,0.33033612433627085
 0.10848606925768323,6.115591011138626,4.170300966017327,-12.753237536883148,0.10848606925768321,0.9999999999999993,-1.8477656122393074,-5.587704798801222,-12.445788645759944,0.5550479932035016
 0.12478588428227817,6.117443756886711,4.169874720875925,-12.95610158964424,0.12478588428227816,1.0,-1.9184821864737809,-5.578657619182232,-14.612094274169385,0.8196092415146534
 0.1389751322519406,6.119265873032172,4.169448573976298,-13.163436218656512,0.1389751322519406,1.0000000000000009,-1.9926915023003193,-5.567027980416154,-16.72426737670433,1.121247188942595
 0.15164875284027168,6.121057547871747,4.169022549878892,-13.375393238006666,0.15164875284027168,1.0,-2.070604504268816,-5.552817718957763,-18.825826815684408,1.4582579873854216
 0.16316155807152424,6.1228189697021715,4.168596673144149,-13.592131315452933,0.16316155807152424,1.0,-2.1524471250602613,-5.536029078772076,-20.945153759489955,1.8295761762155611
 0.17374563106275362,6.124550326820185,4.168170968332514,-13.813816351655896,0.17374563106275362,1.0,-2.23846151236649,-5.516664710979996,-23.102933345838522,2.2345571078682083
 0.18356280577852846,6.126251807522523,4.167745460004433,-14.040621884758895,0.18356280577852846,1.0,-2.3289073596202723,-5.4947276734396775,-25.315587042742646,2.672854460715092
 0.1927313720196804,6.127923600105925,4.167320172720347,-14.272729521493929,0.1927313720196804,1.0,-2.4240633452157248,-5.470221430263653,-27.597067159638296,3.1443458757245932
 0.20134097797965333,6.1295658928671255,4.1668951310407,-14.510329395389325,0.20134097797965333,1.0,-2.5242287291213352,-5.443149851271798,-29.9598875810781,3.6490852821900144
 0.2094615445326356,6.131178874102865,4.166470359525939,-14.753620656411336,0.20946154453263563,1.0000000000000033,-2.6297250790177835,-5.413517211380266,-32.415762686270476,4.187271099026455
 0.21714889524210954,6.132762732109881,4.166045882736505,-15.002811992695774,0.21714889524210956,1.0,-2.7408981574385036,-5.381328189926405,-34.97603101742234,4.759224420897306
 0.2244484711654494,6.134317655184908,4.165621725232843,-15.258122186604538,0.22444847116544941,1.0,-2.858120002768876,-5.346587869929852,-37.651954668664175,5.365373779742632
 0.23139787192868633,6.135843831624686,4.165197911575398,-15.519780709116317,0.23139787192868638,1.000000000000004,-2.981791187765205,-5.309301737289857,-40.45494387153643,6.006244409248472
 0.2380286472780109,6.137341449725951,4.164774466324612,-15.78802835369801,0.23802864727801096,1.0,-3.112343303336844,-5.269475679918994,-43.39673604502688,6.682450700464317
 0.2443675931235292,6.13881069778544,4.164351414040932,-16.063117913359687,0.24436759312352926,1.0,-3.250241686953079,-5.227115986813405,-46.48954701651189,7.394690989973007
 0.25043771015946664,6.140251764099894,4.1639287792848005,-16.34531490469763,0.2504377101594667,1.0,-3.395988396743205,-5.1822293470596765,-49.74620538654282,8.143744102473672
 0.25625892675033507,6.141664836966046,4.163506586616659,-16.63489834082652,0.2562589267503351,1.0,-3.5501254867510212,-5.13482284877857,-53.180277971778686,8.930467248801605
 0.2618486533998055,6.143050104680635,4.163084860596956,-16.93216155783162,0.26184865339980556,1.0,-3.713238612008569,-5.084903978005721,-56.80619167646283,9.755794998652924
 0.26722221449897393,6.1444077555404,4.1626636257861325,-17.237413099616166,0.267222214498974,1.0,-3.8859609581167356,-5.032480617509497,-60.63935508366087,10.620739126781091
 0.27239318907124066,6.145737977842077,4.162242906744632,-17.550977662832427,0.27239318907124066,0.9999999999999892,-4.068977585562461,-4.977561045546234,-64.69628365357836,11.526389185950807
 0.2773736829680816,6.147040959882404,4.161822728032902,-17.873197108717367,0.2773736829680816,1.0,-4.263030202455071,-4.920153934552992,-68.99473059528056,12.473913698632991
 0.28217454869649145,6.148316889958117,4.161403114211383,-18.204431546273117,0.28217454869649145,1.0,-4.468922384228821,-4.860268349778083,-73.55382523301009,13.464561886185686
 0.28680556472624447,6.149565956365956,4.16098408984052,-18.54506048997684,0.28680556472624447,1.0,-4.687525355133609,-4.797913747849556,-78.0887891429285,14.443173540897893
 0.29129306689355783,6.150788347402656,4.160565679480759,-18.895484100498606,0.28902331374842494,0.49420567155028755,-4.919784321500395,-4.733099975281894,-81.65384205784527,15.229182276729286
 0.2957097655145693,6.151984251364956,4.160147907692542,-19.25612451211578,0.2846066151274135,-1.0,-5.166725438577769,-4.665837266921131,-84.44410354883213,15.851863514180675
 0.30010678940580615,6.153153856549594,4.1597307990363115,-19.627427252894076,0.2802095912361766,-1.0,-5.429463489578778,-4.596136244328653,-87.36957636527825,16.47812887318966
 0.3044840054586607,6.154297351253304,4.159314378072516,-20.009862765091274,0.2758323751833221,-0.9999999999999873,-5.709210338613376,-4.524007914103921,-90.4384321686749,17.10799065562852
 0.3088412820937735,6.155414923772827,4.158898669361595,-20.403928032496072,0.27147509854820934,-1.0,-6.007284196860922,-4.449463666146423,-93.65940263323712,17.74145918430584
